node	expansions	synonyms	usage_notes
cs127	In Genitive Phrases (Article > As a Function Marker > In Genitive Phrases)		type=node; parent: As a Function Marker; source=merged; axis weights: morphology:1.00, syntax:0.80
cs128	With Indeclinable Nouns (Article > As a Function Marker > With Indeclinable Nouns)		type=node; parent: As a Function Marker; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs129	With Participles (Article > As a Function Marker > With Participles)		type=node; parent: As a Function Marker; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs13	Nominative for Time (Nominative > Nominative for Time)		type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs130	With Demonstratives (Article > As a Function Marker > With Demonstratives)		type=node; parent: As a Function Marker; source=merged; axis weights: morphology:1.00, syntax:0.80
cs131	With Nominative Nouns (Article > As a Function Marker > With Nominative Nouns)		type=node; parent: As a Function Marker; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs132	To Distinguish Subject from Predicate Nominative & Object from Complement (Article > As a Function Marker > To Distinguish Subject from Predicate Nominative & Object from Complement)		type=node; parent: As a Function Marker; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs133	With Infinitive (various functions) (Article > As a Function Marker > With Infinitive (various functions))		type=node; parent: As a Function Marker; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs134	Absence of the Article (Article > Absence of the Article)		type=node; parent: Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs135	Indefinite (Article > Absence of the Article > Indefinite)		type=node; parent: Absence of the Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs136	Qualitative (Article > Absence of the Article > Qualitative)		type=node; parent: Absence of the Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs137	Definite (Article > Absence of the Article > Definite)		type=node; parent: Absence of the Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs138	Special Uses/Non-Uses of the Article (Article > Special Uses/Non-Uses of the Article)		type=node; parent: Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs139	Proper Names (Article > Special Uses/Non-Uses of the Article > Proper Names)		type=node; parent: Special Uses/Non-Uses of the Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs140	Object of Preposition (Article > Special Uses/Non-Uses of the Article > Object of Preposition)		type=node; parent: Special Uses/Non-Uses of the Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs141	With Ordinal Numbers (Article > Special Uses/Non-Uses of the Article > With Ordinal Numbers)		type=node; parent: Special Uses/Non-Uses of the Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs142	Predicate Nominative (Article > Special Uses/Non-Uses of the Article > Predicate Nominative)	predicate noun; subject complement	type=node; parent: Special Uses/Non-Uses of the Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs143	Complement in Object-Complement Construction (Article > Special Uses/Non-Uses of the Article > Complement in Object-Complement Construction)		type=node; parent: Special Uses/Non-Uses of the Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs144	Monadic Nouns (Article > Special Uses/Non-Uses of the Article > Monadic Nouns)		type=node; parent: Special Uses/Non-Uses of the Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs145	Abstract Nouns (Article > Special Uses/Non-Uses of the Article > Abstract Nouns)		type=node; parent: Special Uses/Non-Uses of the Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs146	Genitive Construction (Apollonius' Corollary) (Article > Special Uses/Non-Uses of the Article > Genitive Construction (Apollonius' Corollary))	apollonius corollary; apollonius canon; Apollonius' corollary	type=node; parent: Special Uses/Non-Uses of the Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs147	With pronominal Adjective (Article > Special Uses/Non-Uses of the Article > With pronominal Adjective)		type=node; parent: Special Uses/Non-Uses of the Article; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs148	Generic Nouns (Article > Special Uses/Non-Uses of the Article > Generic Nouns)		type=node; parent: Special Uses/Non-Uses of the Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs149	Anarthrous Pre-Verbal Predicate Nominatives (involving Colwell's Rule) (Article > Special Uses/Non-Uses of the Article > Anarthrous Pre-Verbal Predicate Nominatives (involving Colwell's Rule))	colwell's rule; colwell rule; predicate nominative without article; Colwell's rule/construction	type=node; parent: Special Uses/Non-Uses of the Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs15	Simple Address (Vocative > Simple Address)		type=node; parent: Vocative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs150	Article with Multiple Substantives Connected by Kai (Sharp's Rule & related constructions) (Article > Special Uses/Non-Uses of the Article > Article with Multiple Substantives Connected by Kai (Sharp's Rule & related constructions))	sharp's rule; granville sharp rule; tsks construction; Granville Sharp rule/construction	type=node; parent: Special Uses/Non-Uses of the Article; source=merged; axis weights: morphology:1.00, syntax:0.80
cs152	"""Non-Adjectival"" Uses of Adjective (Adjectives > ""Non-Adjectival"" Uses of Adjective)"		type=node; parent: Adjectives; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs153	"Adverbial (Adjectives > ""Non-Adjectival"" Uses of Adjective > Adverbial)"		"type=node; parent: ""Non-Adjectival"" Uses of Adjective; source=merged; axis weights: morphology:1.00, syntax:0.80"
cs154	"Substantival (Adjectives > ""Non-Adjectival"" Uses of Adjective > Substantival)"		"type=node; parent: ""Non-Adjectival"" Uses of Adjective; source=merged; axis weights: morphology:1.00, syntax:0.80"
cs155	Degrees of the Adjective (Positive, Comparative, Superlative) (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative))		type=node; parent: Adjectives; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs156	Positive: Normal Use (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative) > Positive: Normal Use)		type=node; parent: Degrees of the Adjective (Positive, Comparative, Superlative); source=merged; axis weights: morphology:1.00, syntax:0.80
cs157	Positive for Comparative (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative) > Positive for Comparative)		type=node; parent: Degrees of the Adjective (Positive, Comparative, Superlative); source=merged; axis weights: morphology:1.00, syntax:0.80
cs158	Positive for Superlative (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative) > Positive for Superlative)		type=node; parent: Degrees of the Adjective (Positive, Comparative, Superlative); source=merged; axis weights: morphology:1.00, syntax:0.80
cs159	Comparative: Normal Use (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative) > Comparative: Normal Use)		type=node; parent: Degrees of the Adjective (Positive, Comparative, Superlative); source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs16	Emphatic (or Emotional) Address (Vocative > Emphatic (or Emotional) Address)		type=node; parent: Vocative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs160	Comparative for Superlative (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative) > Comparative for Superlative)		type=node; parent: Degrees of the Adjective (Positive, Comparative, Superlative); source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs161	Comparative for Elative (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative) > Comparative for Elative)		type=node; parent: Degrees of the Adjective (Positive, Comparative, Superlative); source=merged; axis weights: morphology:1.00, syntax:0.80
cs162	"Superlative: ""Normal"" Use (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative) > Superlative: ""Normal"" Use)"		type=node; parent: Degrees of the Adjective (Positive, Comparative, Superlative); source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs163	Superlative for Elative (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative) > Superlative for Elative)		type=node; parent: Degrees of the Adjective (Positive, Comparative, Superlative); source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs164	Superlative for Comparative (Adjectives > Degrees of the Adjective (Positive, Comparative, Superlative) > Superlative for Comparative)		type=node; parent: Degrees of the Adjective (Positive, Comparative, Superlative); source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs165	Relation of Adjective to Noun When Article is Present (Adjectives > Relation of Adjective to Noun When Article is Present)		type=node; parent: Adjectives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs166	Attributive Positions: First Attributive (Adjectives > Relation of Adjective to Noun When Article is Present > Attributive Positions: First Attributive)		type=node; parent: Relation of Adjective to Noun When Article is Present; source=merged; axis weights: morphology:1.00, syntax:0.80
cs167	Attributive Positions: Second Attributive (Adjectives > Relation of Adjective to Noun When Article is Present > Attributive Positions: Second Attributive)		type=node; parent: Relation of Adjective to Noun When Article is Present; source=merged; axis weights: morphology:1.00, syntax:0.80
cs168	Attributive Positions: Third Attributive (Adjectives > Relation of Adjective to Noun When Article is Present > Attributive Positions: Third Attributive)		type=node; parent: Relation of Adjective to Noun When Article is Present; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs169	Predicate Positions: First Predicate (Adjectives > Relation of Adjective to Noun When Article is Present > Predicate Positions: First Predicate)		type=node; parent: Relation of Adjective to Noun When Article is Present; source=merged; axis weights: morphology:1.00, syntax:0.80
cs17	Exclamation (Vocative > Exclamation)		type=node; parent: Vocative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs170	Predicate Positions: Second Predicate (Adjectives > Relation of Adjective to Noun When Article is Present > Predicate Positions: Second Predicate)		type=node; parent: Relation of Adjective to Noun When Article is Present; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs171	When Article is Absent (Adjectives > When Article is Absent)		type=node; parent: Adjectives; source=merged; axis weights: morphology:1.00, syntax:0.80
cs172	Anarthrous Adjective-Noun Construction (Adjectives > When Article is Absent > Anarthrous Adjective-Noun Construction)		type=node; parent: When Article is Absent; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs173	Anarthrous Noun-Adjective Construction (Adjectives > When Article is Absent > Anarthrous Noun-Adjective Construction)		type=node; parent: When Article is Absent; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs175	Personal Pronouns (Pronouns > Personal Pronouns)		type=node; parent: Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs176	Nominative Uses: Emphasis (contrast, subject focus) (Pronouns > Personal Pronouns > Nominative Uses: Emphasis (contrast, subject focus))		type=node; parent: Personal Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs177	Nominative Uses: Redundancy (Pronouns > Personal Pronouns > Nominative Uses: Redundancy)		type=node; parent: Personal Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, discourse:0.70
cs178	Oblique Cases: Normal Use (Anaphoric) (Pronouns > Personal Pronouns > Oblique Cases: Normal Use (Anaphoric))		type=node; parent: Personal Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs179	Oblique Cases: Possessive (Pronouns > Personal Pronouns > Oblique Cases: Possessive)		type=node; parent: Personal Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs18	Apposition (Vocative > Apposition)	appositive	type=node; parent: Vocative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs180	Oblique Cases: Reflexive (Pronouns > Personal Pronouns > Oblique Cases: Reflexive)		type=node; parent: Personal Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs181	Demonstrative Pronouns (Pronouns > Demonstrative Pronouns)		type=node; parent: Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs182	Regular Uses (as Demonstratives): οὗτος, ἐκεῖνος, ὅδε (Pronouns > Demonstrative Pronouns > Regular Uses (as Demonstratives): οὗτος, ἐκεῖνος, ὅδε)		type=node; parent: Demonstrative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs183	Regular Uses: For Personal Pronouns (Pronouns > Demonstrative Pronouns > Regular Uses: For Personal Pronouns)		type=node; parent: Demonstrative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs184	Unusual Uses: Pleonastic (Redundant, Resumptive) (Pronouns > Demonstrative Pronouns > Unusual Uses: Pleonastic (Redundant, Resumptive))		type=node; parent: Demonstrative Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs185	Unusual Uses: Constructio ad Sensum (Gender, Number) (Pronouns > Demonstrative Pronouns > Unusual Uses: Constructio ad Sensum (Gender, Number))		type=node; parent: Demonstrative Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs186	Unusual Uses: Conceptual Antecedent/Postcedent (Pronouns > Demonstrative Pronouns > Unusual Uses: Conceptual Antecedent/Postcedent)		type=node; parent: Demonstrative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs187	Relative Pronouns (Pronouns > Relative Pronouns)		type=node; parent: Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs188	ὃς: Regular Uses (as Relative Pronoun) (Pronouns > Relative Pronouns > ὃς: Regular Uses (as Relative Pronoun))		type=node; parent: Relative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs189	ὃς Unusual Uses: Natural vs. Grammatical Gender (Pronouns > Relative Pronouns > ὃς Unusual Uses: Natural vs. Grammatical Gender)		type=node; parent: Relative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs190	ὃς Unusual Uses: Case (Pronouns > Relative Pronouns > ὃς Unusual Uses: Case)		type=node; parent: Relative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs191	ὃς Unusual Uses: Attraction (Pronouns > Relative Pronouns > ὃς Unusual Uses: Attraction)		type=node; parent: Relative Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs192	ὃς Unusual Uses: Inverse Attraction (Pronouns > Relative Pronouns > ὃς Unusual Uses: Inverse Attraction)		type=node; parent: Relative Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs193	ὃς Unusual Uses: Antecedent Complexities (Pronouns > Relative Pronouns > ὃς Unusual Uses: Antecedent Complexities)		type=node; parent: Relative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs194	ὃς Unusual Uses: Omission of Antecedent (Pronouns > Relative Pronouns > ὃς Unusual Uses: Omission of Antecedent)		type=node; parent: Relative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs195	ὃς Unusual Uses: Adverbial/Conjunctive (Pronouns > Relative Pronouns > ὃς Unusual Uses: Adverbial/Conjunctive)		type=node; parent: Relative Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs196	ὅστις: Generic (Pronouns > Relative Pronouns > ὅστις: Generic)		type=node; parent: Relative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs197	ὅστις: Qualitative (Pronouns > Relative Pronouns > ὅστις: Qualitative)		type=node; parent: Relative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs198	Interrogative Pronouns (Pronouns > Interrogative Pronouns)		type=node; parent: Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs199	τίς/τί (identifying) (Pronouns > Interrogative Pronouns > τίς/τί (identifying))		type=node; parent: Interrogative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs2	Predicate Nominative (Nominative > Predicate Nominative)	predicate noun; subject complement	type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs20	Descriptive Genitive (Genitive > Descriptive Genitive)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs200	ποῖος/πόσος (qualitative, quantitative) (Pronouns > Interrogative Pronouns > ποῖος/πόσος (qualitative, quantitative))		type=node; parent: Interrogative Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs201	Indefinite Pronoun (Pronouns > Indefinite Pronoun)		type=node; parent: Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs202	Substantival (Pronouns > Indefinite Pronoun > Substantival)		type=node; parent: Indefinite Pronoun; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs203	Adjectival (Pronouns > Indefinite Pronoun > Adjectival)		type=node; parent: Indefinite Pronoun; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs204	"Possessive ""Pronoun"" (Pronouns > Possessive ""Pronoun"")"		type=node; parent: Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs205	First Plural Constructions (Pronouns > First Plural Constructions)		type=node; parent: Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs206	"Editorial ""We"" (Epistolary Plural) (Pronouns > First Plural Constructions > Editorial ""We"" (Epistolary Plural))"		type=node; parent: First Plural Constructions; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, discourse:0.70
cs207	"Inclusive ""We"" (Pronouns > First Plural Constructions > Inclusive ""We"")"		type=node; parent: First Plural Constructions; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs208	"Exclusive ""We"" (Pronouns > First Plural Constructions > Exclusive ""We"")"		type=node; parent: First Plural Constructions; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs209	Possessive Adjective (Pronouns > Possessive Adjective)		type=node; parent: Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs21	Possessive Genitive (Genitive > Possessive Genitive)		type=node; parent: Genitive; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs210	Personal Pronoun in Genitive (Pronouns > Possessive Adjective > Personal Pronoun in Genitive)		type=node; parent: Possessive Adjective; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs211	Intensive Pronoun (autós) (Pronouns > Intensive Pronoun (autós))		type=node; parent: Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs212	As Identifying Adjective (Pronouns > Intensive Pronoun (autós) > As Identifying Adjective)		type=node; parent: Intensive Pronoun (autós); source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs213	As Third Person Personal Pronoun (Pronouns > Intensive Pronoun (autós) > As Third Person Personal Pronoun)		type=node; parent: Intensive Pronoun (autós); source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs214	Reflexive Pronoun (Pronouns > Reflexive Pronoun)		type=node; parent: Pronouns; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs215	Reciprocal Pronoun (Pronouns > Reciprocal Pronoun)		type=node; parent: Pronouns; source=merged; axis weights: morphology:1.00, syntax:0.80
cs217	Neuter Plural Subject, Singular Verb (Number > Neuter Plural Subject, Singular Verb)		type=node; parent: Number; source=merged; axis weights: morphology:1.00, syntax:0.70
cs218	Collective Singular Subject, Plural Verb (Number > Collective Singular Subject, Plural Verb)		type=node; parent: Number; source=merged; axis weights: morphology:1.00, syntax:0.70
cs219	Compound Subject, Singular Verb (Number > Compound Subject, Singular Verb)		type=node; parent: Number; source=cheatsheet; axis weights: morphology:1.00, syntax:0.70
cs22	Genitive of Relationship (Genitive > Genitive of Relationship)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs220	Indefinite Plural (Number > Indefinite Plural)		type=node; parent: Number; source=merged; axis weights: morphology:1.00
cs221	Categorical Plural (Number > Categorical Plural)		type=node; parent: Number; source=merged; axis weights: morphology:1.00
cs224	First for Third Person (Person > First for Third Person)		type=node; parent: Person; source=merged; axis weights: morphology:1.00
cs225	Second for Third Person (Person > Second for Third Person)		type=node; parent: Person; source=merged; axis weights: morphology:1.00
cs227	Simple Active (Active Voice > Simple Active)		type=node; parent: Active Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs228	Causative Active (Ergative) (Active Voice > Causative Active (Ergative))		type=node; parent: Active Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs229	Stative Active (Active Voice > Stative Active)		type=node; parent: Active Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs23	"Partitive Genitive (""Wholative"") (Genitive > Partitive Genitive (""Wholative""))"		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs230	Reflexive Active (Active Voice > Reflexive Active)		type=node; parent: Active Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs232	Direct Middle (Middle Voice > Direct Middle)		type=node; parent: Middle Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs233	Redundant Middle (Middle Voice > Redundant Middle)		type=node; parent: Middle Voice; source=merged; axis weights: morphology:1.00, syntax:0.80, discourse:0.70
cs234	Indirect Middle (Middle Voice > Indirect Middle)		type=node; parent: Middle Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs235	Causative Middle (Middle Voice > Causative Middle)		type=node; parent: Middle Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs236	Permissive Middle (Middle Voice > Permissive Middle)		type=node; parent: Middle Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs237	Reciprocal Middle (Middle Voice > Reciprocal Middle)		type=node; parent: Middle Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs238	Deponent Middle (Middle Voice > Deponent Middle)		type=node; parent: Middle Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs24	Attributive Genitive (Genitive > Attributive Genitive)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs240	Passive Constructions (Passive Voice > Passive Constructions)	agency construction; expressed agent; passive agent	type=node; parent: Passive Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs241	With & Without Agency Expressed: Ultimate Agent (Passive Voice > Passive Constructions > With & Without Agency Expressed: Ultimate Agent)		type=node; parent: Passive Constructions; source=merged; axis weights: morphology:1.00, syntax:0.80
cs242	With & Without Agency Expressed: Intermediate Agent (Passive Voice > Passive Constructions > With & Without Agency Expressed: Intermediate Agent)		type=node; parent: Passive Constructions; source=merged; axis weights: morphology:1.00, syntax:0.80
cs243	With & Without Agency Expressed: Impersonal Means (Passive Voice > Passive Constructions > With & Without Agency Expressed: Impersonal Means)		type=node; parent: Passive Constructions; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs244	With & Without Agency Expressed: No Expressed Agency (Passive Voice > Passive Constructions > With & Without Agency Expressed: No Expressed Agency)		type=node; parent: Passive Constructions; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs245	With Accusative Object (Passive Uses) (Passive Voice > Passive Constructions > With Accusative Object (Passive Uses))		type=node; parent: Passive Constructions; source=merged; axis weights: morphology:1.00, syntax:0.80
cs246	Simple Passive (Passive Voice > Simple Passive)		type=node; parent: Passive Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs247	Causative/Permissive Passive (Passive Voice > Causative/Permissive Passive)		type=node; parent: Passive Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs248	Deponent Passive (Passive Voice > Deponent Passive)		type=node; parent: Passive Voice; source=merged; axis weights: morphology:1.00, syntax:0.80
cs25	Attributed Genitive (Genitive > Attributed Genitive)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs250	Declarative Indicative (Indicative Mood > Declarative Indicative)		type=node; parent: Indicative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80
cs251	Interrogative Indicative (Indicative Mood > Interrogative Indicative)		type=node; parent: Indicative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80
cs252	Conditional Indicative (Indicative Mood > Conditional Indicative)		type=node; parent: Indicative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs253	Potential Indicative (Indicative Mood > Potential Indicative)		type=node; parent: Indicative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80
cs254	Cohortative (Command, Volitive) Indicative (Indicative Mood > Cohortative (Command, Volitive) Indicative)		type=node; parent: Indicative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80
cs256	Subject (Indicative Mood > Indicative with ὅτι > Subject)	grammatical subject	type=node; parent: Indicative with ὅτι; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs257	Direct Object (Indicative Mood > Indicative with ὅτι > Direct Object)	object of the verb	type=node; parent: Indicative with ὅτι; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs258	Direct Object Proper (Indicative Mood > Indicative with ὅτι > Direct Object Proper)		type=node; parent: Indicative with ὅτι; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs259	Direct Discourse (Indicative Mood > Indicative with ὅτι > Direct Discourse)		type=node; parent: Indicative with ὅτι; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, discourse:0.70
cs26	Genitive of Material (Genitive > Genitive of Material)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs260	Indirect Discourse (Indicative Mood > Indicative with ὅτι > Indirect Discourse)		type=node; parent: Indicative with ὅτι; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, discourse:0.70
cs261	Apposition (Indicative Mood > Indicative with ὅτι > Apposition)	appositive	type=node; parent: Indicative with ὅτι; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs262	Epexegetical (Indicative Mood > Indicative with ὅτι > Epexegetical)		type=node; parent: Indicative with ὅτι; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs263	Causal (Indicative Mood > Indicative with ὅτι > Causal)		type=node; parent: Indicative with ὅτι; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs265	Deliberative Subjunctive (Subjunctive Mood > Deliberative Subjunctive)		type=node; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs266	Hortatory Subjunctive (Subjunctive Mood > Hortatory Subjunctive)		type=node; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs267	Emphatic Negation Subjunctive (Subjunctive Mood > Emphatic Negation Subjunctive)		type=node; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs268	Prohibitive Subjunctive (Subjunctive Mood > Prohibitive Subjunctive)		type=node; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs269	Subjunctive in Conditional Sentences (Subjunctive Mood > Subjunctive in Conditional Sentences)		type=node; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs27	Genitive of Content (Genitive > Genitive of Content)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs271	Purpose (Subjunctive Mood > ἵνα + Subjunctive > Purpose)		type=node; parent: ἵνα + Subjunctive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs272	Result (Subjunctive Mood > ἵνα + Subjunctive > Result)		type=node; parent: ἵνα + Subjunctive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs273	Purpose-Result (Subjunctive Mood > ἵνα + Subjunctive > Purpose-Result)		type=node; parent: ἵνα + Subjunctive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs274	Subject (Subjunctive Mood > ἵνα + Subjunctive > Subject)	grammatical subject	type=node; parent: ἵνα + Subjunctive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs275	Predicate Nominative (Subjunctive Mood > ἵνα + Subjunctive > Predicate Nominative)	predicate noun; subject complement	type=node; parent: ἵνα + Subjunctive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs276	Direct Object (Subjunctive Mood > ἵνα + Subjunctive > Direct Object)	object of the verb	type=node; parent: ἵνα + Subjunctive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs277	Apposition (Subjunctive Mood > ἵνα + Subjunctive > Apposition)	appositive	type=node; parent: ἵνα + Subjunctive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs278	Epexegetical (Subjunctive Mood > ἵνα + Subjunctive > Epexegetical)		type=node; parent: ἵνα + Subjunctive; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs279	Complementary (Subjunctive Mood > ἵνα + Subjunctive > Complementary)		type=node; parent: ἵνα + Subjunctive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
