node	axis	query_terms	weight
cs283	morphology	subjunctive; indefinite; relative; clause	1.00
cs283	syntax	subjunctive; indefinite; relative; clause	0.80
cs283	clause	subjunctive; indefinite; relative; clause	0.70
cs284	morphology	subjunctive; indefinite; temporal; clause	1.00
cs284	syntax	subjunctive; indefinite; temporal; clause	0.80
cs284	clause	subjunctive; indefinite; temporal; clause	0.70
cs286	morphology	voluntative; optative	1.00
cs286	syntax	voluntative; optative	0.80
cs287	morphology	oblique; optative	1.00
cs287	syntax	oblique; optative	0.80
cs288	morphology	potential; optative	1.00
cs288	syntax	potential; optative	0.80
cs289	morphology	conditional; optative	1.00
cs289	syntax	conditional; optative	0.80
cs289	clause	conditional; optative	0.70
cs29	morphology	genitive; apposition	1.00
cs29	syntax	genitive; apposition	0.80
cs291	morphology	command	1.00
cs291	syntax	command	0.80
cs291	clause	command	0.60
cs292	morphology	prohibition	1.00
cs292	syntax	prohibition	0.80
cs292	clause	prohibition	0.60
cs293	morphology	request	1.00
cs293	syntax	request	0.80
cs293	clause	request	0.60
cs294	morphology	permissive; imperative	1.00
cs294	syntax	permissive; imperative	0.80
cs294	clause	permissive; imperative	0.60
cs295	morphology	conditional; imperative	1.00
cs295	syntax	conditional; imperative	0.80
cs295	clause	conditional; imperative	0.70
cs296	morphology	potential; imperative	1.00
cs296	syntax	potential; imperative	0.80
cs296	clause	potential; imperative	0.60
cs297	morphology	pronouncement; imperative	1.00
cs297	syntax	pronouncement; imperative	0.80
cs297	clause	pronouncement; imperative	0.60
cs298	morphology	stereotyped; greeting	1.00
cs298	syntax	stereotyped; greeting	0.80
cs298	clause	stereotyped; greeting	0.60
cs3	morphology	nominative; simple; apposition	1.00
cs3	syntax	nominative; simple; apposition	0.80
cs30	morphology	genitive; destination	1.00
cs30	syntax	genitive; destination	0.80
cs300	morphology	instantaneous; present	1.00
cs301	morphology	progressive; present	1.00
cs302	morphology	extending; past; present	1.00
cs303	morphology	futuristic; present	1.00
cs304	morphology	completely; futuristic	1.00
cs305	morphology	mostly; futuristic	1.00
cs306	morphology	present; retained; indirect; discourse	1.00
cs306	discourse	present; retained; indirect; discourse	0.70
cs307	morphology	iterative; present	1.00
cs308	morphology	customary; present	1.00
cs309	morphology	gnomic; present	1.00
cs31	morphology	predicate; genitive	1.00
cs31	syntax	predicate; genitive	0.80
cs310	morphology	historical; present	1.00
cs311	morphology	perfective; present	1.00
cs312	morphology	conative; present	1.00
cs313	morphology	progress; but; not; complete	1.00
cs314	morphology	not; begun; but; about; desired; attempted	1.00
cs316	morphology	instantaneous; imperfect	1.00
cs317	morphology	progressive; imperfect	1.00
cs318	morphology	ingressive; imperfect	1.00
cs319	morphology	iterative; imperfect	1.00
cs32	morphology	genitive; subordination	1.00
cs32	syntax	genitive; subordination	0.80
cs320	morphology	customary; imperfect	1.00
cs321	morphology	pluperfective; imperfect	1.00
cs322	morphology	conative; imperfect	1.00
cs323	morphology	progress; but; not; complete	1.00
cs324	morphology	not; begun; but; about; desired; attempted	1.00
cs325	morphology	imperfect; retained; indirect; discourse	1.00
cs325	discourse	imperfect; retained; indirect; discourse	0.70
cs327	morphology	constative; aorist	1.00
cs328	morphology	ingressive; aorist	1.00
cs329	morphology	consummative; aorist	1.00
cs33	morphology	genitive; production; producer	1.00
cs33	syntax	genitive; production; producer	0.80
cs330	morphology	gnomic; aorist	1.00
cs331	morphology	epistolary; aorist	1.00
cs331	discourse	epistolary; aorist	0.70
cs332	morphology	proleptic; aorist	1.00
cs333	morphology	immediate; past; dramatic; aorist	1.00
cs335	morphology	predictive; future	1.00
cs336	morphology	imperatival; future	1.00
cs337	morphology	deliberative; future	1.00
cs338	morphology	gnomic; future	1.00
cs339	morphology	miscellaneous; subjunctive; equivalents	1.00
cs34	morphology	genitive; product	1.00
cs34	syntax	genitive; product	0.80
cs341	morphology	intensive; perfect	1.00
cs342	morphology	extensive; perfect	1.00
cs343	morphology	aoristic; perfect	1.00
cs344	morphology	perfect; present; force	1.00
cs345	morphology	gnomic; perfect	1.00
cs346	morphology	proleptic; perfect	1.00
cs347	morphology	perfect; allegory	1.00
cs349	morphology	intensive; pluperfect	1.00
cs35	morphology	genitive; separation	1.00
cs35	syntax	genitive; separation	0.80
cs350	morphology	extensive; pluperfect	1.00
cs351	morphology	simple; past; pluperfect	1.00
cs353	morphology	adverbial	1.00
cs353	syntax	adverbial	0.80
cs353	clause	adverbial	0.60
cs354	morphology	purpose	1.00
cs354	syntax	purpose	0.80
cs354	clause	purpose	0.70
cs355	morphology	result	1.00
cs355	syntax	result	0.80
cs355	clause	result	0.70
cs356	morphology	time; antecedent	1.00
cs356	syntax	time; antecedent	0.80
cs356	clause	time; antecedent	0.60
cs357	morphology	time; contemporaneous	1.00
cs357	syntax	time; contemporaneous	0.80
cs357	clause	time; contemporaneous	0.60
cs358	morphology	time; subsequent	1.00
cs358	syntax	time; subsequent	0.80
cs358	clause	time; subsequent	0.60
cs359	morphology	cause	1.00
cs359	syntax	cause	0.80
cs359	clause	cause	0.60
cs36	morphology	genitive; source	1.00
cs36	syntax	genitive; source	0.80
cs360	morphology	means	1.00
cs360	syntax	means	0.80
cs360	clause	means	0.60
cs361	morphology	complementary	1.00
cs361	syntax	complementary	0.80
cs361	clause	complementary	0.60
cs362	morphology	substantival	1.00
cs362	syntax	substantival	0.80
cs362	clause	substantival	0.60
cs363	morphology	subject; grammatical subject	1.00
cs363	syntax	subject; grammatical subject	0.80
cs363	clause	subject; grammatical subject	0.60
cs364	morphology	direct; object; object of the verb	1.00
cs364	syntax	direct; object; object of the verb	0.80
cs364	clause	direct; object; object of the verb	0.60
cs365	morphology	indirect; discourse	1.00
cs365	syntax	indirect; discourse	0.80
cs365	discourse	indirect; discourse	0.70
cs365	clause	indirect; discourse	0.60
cs366	morphology	appositional	1.00
cs366	syntax	appositional	0.80
cs366	clause	appositional	0.60
cs367	morphology	epexegetical	1.00
cs367	syntax	epexegetical	0.80
cs367	clause	epexegetical	0.60
cs368	morphology	independent	1.00
cs368	syntax	independent	0.80
cs368	clause	independent	0.60
cs369	morphology	imperatival	1.00
cs369	syntax	imperatival	0.80
cs369	clause	imperatival	0.60
cs37	morphology	genitive; comparison	1.00
cs37	syntax	genitive; comparison	0.80
cs370	morphology	absolute	1.00
cs370	syntax	absolute	0.80
cs370	clause	absolute	0.60
cs372	morphology	adjectival; participles	1.00
cs372	syntax	adjectival; participles	0.80
cs372	clause	adjectival; participles	0.60
cs373	morphology	adjectival; proper	1.00
cs373	syntax	adjectival; proper	0.80
cs373	clause	adjectival; proper	0.60
cs374	morphology	attributive	1.00
cs374	syntax	attributive	0.80
cs374	clause	attributive	0.60
cs375	morphology	predicate	1.00
cs375	syntax	predicate	0.80
cs375	clause	predicate	0.60
cs376	morphology	substantival	1.00
cs376	syntax	substantival	0.80
cs376	clause	substantival	0.60
cs377	morphology	verbal; participles; dependent	1.00
cs377	syntax	verbal; participles; dependent	0.80
cs377	clause	verbal; participles; dependent	0.60
cs378	morphology	temporal	1.00
cs378	syntax	temporal	0.80
cs378	clause	temporal	0.70
cs379	morphology	manner	1.00
cs379	syntax	manner	0.80
cs379	clause	manner	0.60
cs38	morphology	subjective; genitive	1.00
cs38	syntax	subjective; genitive	0.80
cs380	morphology	means	1.00
cs380	syntax	means	0.80
cs380	clause	means	0.60
cs381	morphology	cause	1.00
cs381	syntax	cause	0.80
cs381	clause	cause	0.60
cs382	morphology	condition	1.00
cs382	syntax	condition	0.80
cs382	clause	condition	0.60
cs383	morphology	concession	1.00
cs383	syntax	concession	0.80
cs383	clause	concession	0.60
cs384	morphology	purpose	1.00
cs384	syntax	purpose	0.80
cs384	clause	purpose	0.70
cs385	morphology	result	1.00
cs385	syntax	result	0.80
cs385	clause	result	0.70
cs386	morphology	attendant; circumstance	1.00
cs386	syntax	attendant; circumstance	0.80
cs386	clause	attendant; circumstance	0.60
cs387	morphology	indirect; discourse	1.00
cs387	syntax	indirect; discourse	0.80
cs387	discourse	indirect; discourse	0.70
cs387	clause	indirect; discourse	0.60
cs388	morphology	complementary	1.00
cs388	syntax	complementary	0.80
cs388	clause	complementary	0.60
cs389	morphology	periphrastic	1.00
cs389	syntax	periphrastic	0.80
cs389	clause	periphrastic	0.60
cs39	morphology	objective; genitive	1.00
cs39	syntax	objective; genitive	0.80
cs390	morphology	redundant	1.00
cs390	syntax	redundant	0.80
cs390	discourse	redundant	0.70
cs390	clause	redundant	0.60
cs391	morphology	verbal; participles; independent	1.00
cs391	syntax	verbal; participles; independent	0.80
cs391	clause	verbal; participles; independent	0.60
cs392	morphology	imperatival	1.00
cs392	syntax	imperatival	0.80
cs392	clause	imperatival	0.60
cs393	morphology	indicative	1.00
cs393	syntax	indicative	0.80
cs393	clause	indicative	0.60
cs394	morphology	participle; absolute	1.00
cs394	syntax	participle; absolute	0.80
cs394	clause	participle; absolute	0.60
cs396	clause	nominative; absolute	1.00
cs396	syntax	nominative; absolute	0.70
cs397	clause	genitive; absolute; genitive absolute participle; absolute participial clause	1.00
cs397	syntax	genitive; absolute; genitive absolute participle; absolute participial clause	0.70
cs398	clause	clauses	1.00
cs399	clause	independent; clauses	1.00
cs4	morphology	nominative; absolute	1.00
cs4	syntax	nominative; absolute	0.80
cs40	morphology	plenary; genitive	1.00
cs40	syntax	plenary; genitive	0.80
cs400	clause	dependent; clauses	1.00
cs401	clause	substantival	1.00
cs402	clause	adjectival	1.00
cs403	clause	adverbial	1.00
cs405	clause	logical	1.00
cs405	discourse	logical	0.80
cs406	clause	ascensive	1.00
cs406	discourse	ascensive	0.80
cs407	clause	connective	1.00
cs407	discourse	connective	0.80
cs408	clause	contrastive	1.00
cs408	discourse	contrastive	0.80
cs409	clause	correlative	1.00
cs409	discourse	correlative	0.80
cs41	morphology	genitive; price; value; quantity	1.00
cs41	syntax	genitive; price; value; quantity	0.80
cs410	clause	disjunctive	1.00
cs410	discourse	disjunctive	0.80
cs411	clause	emphatic	1.00
cs411	discourse	emphatic	0.80
cs412	clause	explanatory	1.00
cs412	discourse	explanatory	0.80
cs413	clause	inferential	1.00
cs413	discourse	inferential	0.80
cs414	clause	transitional	1.00
cs414	discourse	transitional	0.80
cs415	clause	adverbial	1.00
cs415	discourse	adverbial	0.80
cs416	clause	causal	1.00
cs416	discourse	causal	0.80
cs416	syntax	causal	0.70
cs417	clause	comparative	1.00
cs417	discourse	comparative	0.80
cs418	clause	conditional	1.00
cs418	discourse	conditional	0.80
cs419	clause	local	1.00
cs419	discourse	local	0.80
cs42	morphology	genitive; time	1.00
cs42	syntax	genitive; time	0.80
cs420	clause	purpose	1.00
cs420	discourse	purpose	0.80
cs421	clause	result	1.00
cs421	discourse	result	0.80
cs422	clause	temporal	1.00
cs422	discourse	temporal	0.80
cs423	clause	substantival	1.00
cs423	discourse	substantival	0.80
cs424	clause	content	1.00
cs424	discourse	content	0.80
cs425	clause	epexegetical	1.00
cs425	discourse	epexegetical	0.80
cs425	syntax	epexegetical	0.70
cs427	clause		1.00
cs428	clause	cause; effect	1.00
cs429	clause	evidence; inference	1.00
cs43	morphology	genitive; place	1.00
cs43	syntax	genitive; place	0.80
cs430	clause	equivalence	1.00
cs431	clause	greek	1.00
cs432	clause	first; class	1.00
cs433	clause	second; class	1.00
cs434	clause	third; class	1.00
cs435	clause	fourth; class	1.00
cs437	clause	commands	1.00
cs437	syntax	commands	0.80
cs438	clause	future; indicative	1.00
cs438	syntax	future; indicative	0.80
cs439	clause	aorist; imperative	1.00
cs439	syntax	aorist; imperative	0.80
cs44	morphology	genitive; means	1.00
cs44	syntax	genitive; means	0.80
cs440	clause	aorist; imperative; ingressive	1.00
cs440	syntax	aorist; imperative; ingressive	0.80
cs441	clause	aorist; imperative; momentary; single; act; pure; ingressive	1.00
cs441	syntax	aorist; imperative; momentary; single; act; pure; ingressive	0.80
cs442	clause	aorist; imperative; constative	1.00
cs442	syntax	aorist; imperative; constative	0.80
cs443	clause	present; imperative	1.00
cs443	syntax	present; imperative	0.80
cs444	clause	present; imperative; ingressive; progressive	1.00
cs444	syntax	present; imperative; ingressive; progressive	0.80
cs445	clause	present; imperative; customary	1.00
cs445	syntax	present; imperative; customary	0.80
cs446	clause	present; imperative; iterative	1.00
cs446	syntax	present; imperative; iterative	0.80
cs447	clause	prohibitions	1.00
cs447	syntax	prohibitions	0.80
cs448	clause	future; indicative	1.00
cs448	syntax	future; indicative	0.80
cs449	clause	aorist; subjunctive	1.00
cs449	syntax	aorist; subjunctive	0.80
cs45	morphology	genitive; agency; agentive genitive; genitive of agent	1.00
cs45	syntax	genitive; agency; agentive genitive; genitive of agent	0.80
cs450	clause	aorist; subjunctive; ingressive	1.00
cs450	syntax	aorist; subjunctive; ingressive	0.80
cs451	clause	aorist; subjunctive; constative	1.00
cs451	syntax	aorist; subjunctive; constative	0.80
cs452	clause	present; imperative	1.00
cs452	syntax	present; imperative	0.80
cs453	clause	present; imperative; cessation; activity; progress	1.00
cs453	syntax	present; imperative; cessation; activity; progress	0.80
cs454	clause	present; imperative; precept	1.00
cs454	syntax	present; imperative; precept	0.80
cs46	morphology	genitive; absolute; genitive absolute participle; absolute participial clause	1.00
cs46	syntax	genitive; absolute; genitive absolute participle; absolute participial clause	0.80
cs47	morphology	genitive; reference	1.00
cs47	syntax	genitive; reference	0.80
cs48	morphology	genitive; association	1.00
cs48	syntax	genitive; association	0.80
cs49	morphology	genitive; after; certain; verbs	1.00
cs49	syntax	genitive; after; certain; verbs	0.80
cs5	morphology	nominativus; pendens	1.00
cs5	syntax	nominativus; pendens	0.80
cs50	morphology	genitive; after; certain; adjectives	1.00
cs50	syntax	genitive; after; certain; adjectives	0.80
cs51	morphology	genitive; after; certain; nouns	1.00
cs51	syntax	genitive; after; certain; nouns	0.80
cs52	morphology	genitive; after; certain; prepositions	1.00
cs52	syntax	genitive; after; certain; prepositions	0.80
cs54	morphology	dative; indirect; object	1.00
cs54	syntax	dative; indirect; object	0.80
cs55	morphology	dative; interest	1.00
cs55	syntax	dative; interest	0.80
cs56	morphology	advantage	1.00
cs56	syntax	advantage	0.80
cs57	morphology	disadvantage	1.00
cs57	syntax	disadvantage	0.80
cs58	morphology	dative; reference; respect	1.00
cs58	syntax	dative; reference; respect	0.80
cs59	morphology	ethical; dative	1.00
cs59	syntax	ethical; dative	0.80
cs6	morphology	parenthetic; nominative	1.00
cs6	syntax	parenthetic; nominative	0.80
cs60	morphology	dative; destination	1.00
cs60	syntax	dative; destination	0.80
cs61	morphology	dative; recipient	1.00
cs61	syntax	dative; recipient	0.80
cs62	morphology	dative; possession	1.00
cs62	syntax	dative; possession	0.80
cs63	morphology	dative; thing; possessed	1.00
cs63	syntax	dative; thing; possessed	0.80
cs64	morphology	predicate; dative	1.00
cs64	syntax	predicate; dative	0.80
cs65	morphology	dative; simple; apposition	1.00
cs65	syntax	dative; simple; apposition	0.80
cs66	morphology	dative; sphere	1.00
cs66	syntax	dative; sphere	0.80
cs67	morphology	dative; time	1.00
cs67	syntax	dative; time	0.80
cs68	morphology	dative; rule	1.00
cs68	syntax	dative; rule	0.80
cs69	morphology	dative; association; accompaniment	1.00
cs69	syntax	dative; association; accompaniment	0.80
cs7	morphology	nominative; proverbial; expressions	1.00
cs7	syntax	nominative; proverbial; expressions	0.80
cs70	morphology	dative; manner	1.00
cs70	syntax	dative; manner	0.80
cs71	morphology	dative; means; instrument	1.00
cs71	syntax	dative; means; instrument	0.80
cs72	morphology	dative; agency; agentive dative; dative of agent	1.00
cs72	syntax	dative; agency; agentive dative; dative of agent	0.80
cs73	morphology	dative; measure; degree; difference	1.00
cs73	syntax	dative; measure; degree; difference	0.80
cs74	morphology	dative; cause	1.00
cs74	syntax	dative; cause	0.80
cs75	morphology	cognate; dative	1.00
cs75	syntax	cognate; dative	0.80
cs76	morphology	dative; material	1.00
cs76	syntax	dative; material	0.80
cs77	morphology	dative; content	1.00
cs77	syntax	dative; content	0.80
cs78	morphology	dative; direct; object	1.00
cs78	syntax	dative; direct; object	0.80
cs79	morphology	dative; after; certain; nouns	1.00
cs79	syntax	dative; after; certain; nouns	0.80
cs8	morphology	nominative; vocative	1.00
cs8	syntax	nominative; vocative	0.80
cs80	morphology	dative; after; certain; adjectives	1.00
cs80	syntax	dative; after; certain; adjectives	0.80
cs81	morphology	dative; after; certain; prepositions	1.00
cs81	syntax	dative; after; certain; prepositions	0.80
cs83	morphology	accusative; direct; object	1.00
cs83	syntax	accusative; direct; object	0.80
cs84	morphology	double; accusative	1.00
cs84	syntax	double; accusative	0.80
cs85	morphology	person; thing	1.00
cs85	syntax	person; thing	0.80
cs86	morphology	object; complement	1.00
cs86	syntax	object; complement	0.80
cs87	morphology	cognate; accusative	1.00
cs87	syntax	cognate; accusative	0.80
cs88	morphology	predicate; accusative	1.00
cs88	syntax	predicate; accusative	0.80
cs89	morphology	accusative; subject; infinitive	1.00
cs89	syntax	accusative; subject; infinitive	0.80
cs9	morphology	nominative; exclamation	1.00
cs9	syntax	nominative; exclamation	0.80
cs90	morphology	accusative; retained; object	1.00
cs90	syntax	accusative; retained; object	0.80
cs91	morphology	pendent; accusative	1.00
cs91	syntax	pendent; accusative	0.80
cs92	morphology	accusative; simple; apposition	1.00
cs92	syntax	accusative; simple; apposition	0.80
cs93	morphology	adverbial; accusative	1.00
cs93	syntax	adverbial; accusative	0.80
cs94	morphology	accusative; measure	1.00
cs94	syntax	accusative; measure	0.80
cs95	morphology	accusative; respect; reference	1.00
cs95	syntax	accusative; respect; reference	0.80
cs96	morphology	accusative; oaths	1.00
cs96	syntax	accusative; oaths	0.80
cs97	morphology	accusative; after; certain; prepositions	1.00
cs97	syntax	accusative; after; certain; prepositions	0.80
cs99	morphology	pronoun	1.00
cs99	syntax	pronoun	0.80
si10	morphology	par; excellence	1.00
si10	syntax	par; excellence	0.80
si100	clause	indirect	1.00
si100	syntax	indirect	0.80
si101	clause	perfect	1.00
si101	syntax	perfect	0.80
si102	clause	traditional; view	1.00
si102	syntax	traditional; view	0.80
si104	clause	apodosis	1.00
si105	clause	first; class	1.00
si106	clause	fifth; class	1.00
si107	clause	implicit	1.00
si108	clause	protasis	1.00
si109	clause	questions; interrogatives; question types	1.00
si11	morphology	participle	1.00
si11	syntax	participle	0.80
si110	clause	simple	1.00
si111	clause	structural; categories	1.00
si112	clause	systems; classification	1.00
si112	morphology	systems; classification	0.60
si113	clause	third; class	1.00
si114	clause	unreal; conditions; second; class	1.00
si116	clause	adjunctive	1.00
si116	discourse	adjunctive	0.80
si117	clause	hypotactic	1.00
si117	discourse	hypotactic	0.80
si118	clause	paratactic	1.00
si118	discourse	paratactic	0.80
si12	morphology	reference; accusative; case; respect	1.00
si12	syntax	reference; accusative; case; respect	0.80
si120	morphology	abstract	1.00
si120	syntax	abstract	0.80
si121	morphology	adverbial	1.00
si121	syntax	adverbial	0.80
si122	morphology	comitative	1.00
si122	syntax	comitative	0.80
si123	morphology	contextualizing	1.00
si123	syntax	contextualizing	0.80
si124	morphology	existential	1.00
si124	syntax	existential	0.80
si125	morphology	impersonal	1.00
si125	syntax	impersonal	0.80
si126	morphology	indirect; object	1.00
si126	syntax	indirect; object	0.80
si127	morphology	infinitive	1.00
si127	syntax	infinitive	0.80
si128	morphology	instrumental	1.00
si128	syntax	instrumental	0.80
si129	morphology	limiting	1.00
si129	syntax	limiting	0.80
si13	morphology	result	1.00
si13	syntax	result	0.80
si13	clause	result	0.70
si130	morphology	local	1.00
si130	syntax	local	0.80
si131	morphology	nonassociative	1.00
si131	syntax	nonassociative	0.80
si132	morphology	opinion	1.00
si132	syntax	opinion	0.80
si133	morphology	personal	1.00
si133	syntax	personal	0.80
si134	morphology	pronouns	1.00
si134	syntax	pronouns	0.80
si135	morphology	pure	1.00
si135	syntax	pure	0.80
si136	morphology	qualifying	1.00
si136	syntax	qualifying	0.80
si138	morphology	aspect; verbal aspect; aktionsart (related)	1.00
si139	morphology	commands	1.00
si14	morphology	space	1.00
si14	syntax	space	0.80
si140	morphology	conditions	1.00
si141	morphology	emphatic; negation	1.00
si142	morphology	ἵνα	1.00
si142	clause	ἵνα	0.70
si143	morphology	indefinite; relative; clause	1.00
si143	clause	indefinite; relative; clause	0.70
si144	morphology	indicative	1.00
si145	morphology	infinitive	1.00
si146	morphology	middle	1.00
si147	morphology	participle	1.00
si148	morphology	passive	1.00
si149	morphology	periphrastic	1.00
si15	morphology	time	1.00
si15	syntax	time	0.80
si150	morphology	questions	1.00
si151	morphology	subjunctive; equivalents	1.00
si152	morphology	time	1.00
si154	morphology	ablatival	1.00
si154	syntax	ablatival	0.80
si155	morphology	adjectival	1.00
si155	syntax	adjectival	0.80
si156	morphology	adverbial	1.00
si156	syntax	adverbial	0.80
si157	morphology	adverbs	1.00
si157	syntax	adverbs	0.80
si158	morphology	anarthrous	1.00
si158	syntax	anarthrous	0.80
si159	morphology	apposition; gen	1.00
si159	syntax	apposition; gen	0.80
si16	morphology	unaffected	1.00
si16	syntax	unaffected	0.80
si160	morphology	apposition; simple	1.00
si160	syntax	apposition; simple	0.80
si161	morphology	appositional	1.00
si161	syntax	appositional	0.80
si162	morphology	chains; genitive; case; concatenative	1.00
si162	syntax	chains; genitive; case; concatenative	0.80
si163	morphology	cognate	1.00
si163	syntax	cognate	0.80
si164	morphology	concatenative	1.00
si164	syntax	concatenative	0.80
si165	morphology	definition	1.00
si165	syntax	definition	0.80
si166	morphology	direct; object	1.00
si166	syntax	direct; object	0.80
si167	morphology	direction; genitive; case; destination	1.00
si167	syntax	direction; genitive; case; destination	0.80
si168	morphology	domicile	1.00
si168	syntax	domicile	0.80
si169	morphology	epexegetical; genitive; case; apposition; hebrew; attributive; infinitive	1.00
si169	syntax	epexegetical; genitive; case; apposition; hebrew; attributive; infinitive	0.80
si17	morphology	unmarked	1.00
si17	syntax	unmarked	0.80
si170	morphology	nominal	1.00
si170	syntax	nominal	0.80
si171	morphology	possession	1.00
si171	syntax	possession	0.80
si172	morphology	pregnant	1.00
si172	syntax	pregnant	0.80
si173	morphology	production; producer	1.00
si173	syntax	production; producer	0.80
si174	morphology	restriction	1.00
si174	syntax	restriction	0.80
si175	morphology	reverse	1.00
si175	syntax	reverse	0.80
si176	morphology	space	1.00
si176	syntax	space	0.80
si177	morphology	unaffected	1.00
si177	syntax	unaffected	0.80
si178	morphology	value; genitive; case; price; verbal	1.00
si178	syntax	value; genitive; case; price; verbal	0.80
si179	morphology	accusative	1.00
si179	syntax	accusative	0.80
si181	morphology	aorist	1.00
si181	syntax	aorist	0.80
si181	clause	aorist	0.60
si182	morphology	passive	1.00
si182	syntax	passive	0.80
si182	clause	passive	0.60
si183	morphology	perfect	1.00
si183	syntax	perfect	0.80
si183	clause	perfect	0.60
si184	morphology	performative; imperative; mood; pronouncement; permissive	1.00
si184	syntax	performative; imperative; mood; pronouncement; permissive	0.80
si184	clause	performative; imperative; mood; pronouncement; permissive	0.60
si185	morphology	prohibitive	1.00
si185	syntax	prohibitive	0.80
si185	clause	prohibitive	0.60
si186	morphology	present	1.00
si186	syntax	present	0.80
si186	clause	present	0.60
si187	morphology	request	1.00
si187	syntax	request	0.80
si187	clause	request	0.60
si188	morphology	second; person	1.00
si188	syntax	second; person	0.80
si188	clause	second; person	0.60
si189	morphology	time; element	1.00
si189	syntax	time; element	0.80
si189	clause	time; element	0.60
si19	morphology	agent	1.00
si19	syntax	agent	0.80
si190	morphology	unaffected	1.00
si190	syntax	unaffected	0.80
si190	clause	unaffected	0.60
si192	morphology	broad; band	1.00
si193	morphology	aspect; verbal aspect; aktionsart (related)	1.00
si194	morphology	conditions	1.00
si195	morphology	desiderative	1.00
si196	morphology	distributive	1.00
si197	morphology	imperfect; tense; customary; gnomic	1.00
si198	morphology	inceptive; imperfect; tense; ingressive; inchoative; indicative	1.00
si199	morphology	habitual; imperfect; tense; customary; middle	1.00
si2	morphology	absolute	1.00
si2	syntax	absolute	0.80
si200	morphology	narrow; band	1.00
si201	morphology	passive	1.00
si202	morphology	periphrastic	1.00
si203	morphology		1.00
si204	morphology	tendential	1.00
si205	morphology	time	1.00
si206	morphology	unaffected	1.00
si207	morphology	voluntative	1.00
si209	morphology	aorist	1.00
si209	syntax	aorist	0.80
si21	morphology	active	1.00
si21	syntax	active	0.80
si210	morphology	future	1.00
si210	syntax	future	0.80
si211	morphology	imperfect	1.00
si211	syntax	imperfect	0.80
si212	morphology	ὅτι	1.00
si212	syntax	ὅτι	0.80
si212	clause	ὅτι	0.70
si213	morphology	participle	1.00
si213	syntax	participle	0.80
si214	morphology	perfect	1.00
si214	syntax	perfect	0.80
si215	morphology	pluperfect	1.00
si215	syntax	pluperfect	0.80
si216	morphology	present	1.00
si216	syntax	present	0.80
si217	morphology	relative; clauses	1.00
si217	syntax	relative; clauses	0.80
si217	clause	relative; clauses	0.70
si218	morphology	ὥστε	1.00
si218	syntax	ὥστε	0.80
si22	morphology	identifying	1.00
si22	syntax	identifying	0.80
si220	morphology	adjectival	1.00
si220	syntax	adjectival	0.80
si220	clause	adjectival	0.60
si221	morphology	anarthrous	1.00
si221	syntax	anarthrous	0.80
si221	clause	anarthrous	0.60
si222	morphology	aorist	1.00
si222	syntax	aorist	0.80
si222	clause	aorist	0.60
si223	morphology	articular	1.00
si223	syntax	articular	0.80
si223	clause	articular	0.60
si224	morphology	dative; articular	1.00
si224	syntax	dative; articular	0.80
si224	clause	dative; articular	0.60
si225	morphology	future	1.00
si225	syntax	future	0.80
si225	clause	future	0.60
si226	morphology	genitive; articular	1.00
si226	syntax	genitive; articular	0.80
si226	clause	genitive; articular	0.60
si227	morphology	independent	1.00
si227	syntax	independent	0.80
si227	clause	independent	0.60
si228	morphology	nominal	1.00
si228	syntax	nominal	0.80
si228	clause	nominal	0.60
si229	morphology	present	1.00
si229	syntax	present	0.80
si229	clause	present	0.60
si23	morphology	independent	1.00
si23	syntax	independent	0.80
si230	morphology	prepositions	1.00
si230	syntax	prepositions	0.80
si230	clause	prepositions	0.60
si231	morphology	simple	1.00
si231	syntax	simple	0.80
si231	clause	simple	0.60
si232	morphology	subject; grammatical subject (general)	1.00
si232	syntax	subject; grammatical subject (general)	0.80
si232	clause	subject; grammatical subject (general)	0.60
si233	morphology	supplementary; infinitive; complementary	1.00
si233	syntax	supplementary; infinitive; complementary	0.80
si233	clause	supplementary; infinitive; complementary	0.60
si234	morphology	time	1.00
si234	syntax	time	0.80
si234	clause	time	0.60
si235	morphology	time; element	1.00
si235	syntax	time; element	0.80
si235	clause	time; element	0.60
si236	morphology	two; accusatives	1.00
si236	syntax	two; accusatives	0.80
si236	clause	two; accusatives	0.60
si237	morphology	verbal	1.00
si237	syntax	verbal	0.80
si237	clause	verbal	0.60
si239	morphology	agent	1.00
si239	syntax	agent	0.80
si24	morphology	nouns	1.00
si24	syntax	nouns	0.80
si240	morphology	aorist	1.00
si240	syntax	aorist	0.80
si241	morphology	future	1.00
si241	syntax	future	0.80
si242	morphology	imperfect	1.00
si242	syntax	imperfect	0.80
si243	morphology	indirect; redundant	1.00
si243	syntax	indirect; redundant	0.80
si243	discourse	indirect; redundant	0.70
si244	morphology	perfect	1.00
si244	syntax	perfect	0.80
si245	morphology	pluperfect	1.00
si245	syntax	pluperfect	0.80
si246	morphology	present	1.00
si246	syntax	present	0.80
si247	morphology	redundant; reciprocal	1.00
si247	syntax	redundant; reciprocal	0.80
si247	discourse	redundant; reciprocal	0.70
si249	morphology	address; nominative; vocative; appellation	1.00
si249	syntax	address; nominative; vocative; appellation	0.80
si25	morphology	passive	1.00
si25	syntax	passive	0.80
si250	morphology	article	1.00
si250	syntax	article	0.80
si251	morphology	cognate	1.00
si251	syntax	cognate	0.80
si252	morphology	independent	1.00
si252	syntax	independent	0.80
si253	morphology	interjectional	1.00
